date,open,high,low,close,volume
2019-02-06,85.42,87.27,85.19,86.64,1132826.0
2019-02-07,86.8,87.525,85.48,85.8,1470924.0
2019-02-08,85.3,85.445,83.7,84.31,1520156.0
2019-02-11,84.25,84.35,83.29,83.64,1304793.0
2019-02-12,84.14,85.83,84.0673,85.79,1024851.0
2019-02-13,85.91,86.77,85.49,86.41,752174
2019-02-14,86.02,86.97,85.52,86.45,732508
2019-02-15,86.7,87.35,85.8975,86.66,917447
2019-02-19,86.4,87.32,86,86.85,1544454.0
2019-02-20,86.19,87.13,85.43,86.33,728378
2019-02-21,86.35,86.4,84.53,84.98,720739
2019-02-22,85.39,85.88,84.9,85.67,828063
2019-02-25,86.3,86.57,84.64,84.67,746125
2019-02-26,84.8,84.98,83.88,83.92,825029
2019-02-27,83.67,83.87,82.45,82.79,1894849.0
2019-02-28,82.86,83.96,82.565,83.3,1830673.0
2019-03-01,83.71,84.27,82.2,82.98,902634
2019-03-04,83.01,83.44,79.83,80.48,1259358.0
2019-03-05,80.7,80.7,79.43,79.66,2122665.0
2019-03-06,79.63,79.63,76.53,76.63,3384717.0
2019-03-07,77.02,77.51,76.02,76.33,2734296.0
2019-03-08,75.81,76.94,75.53,76.41,1426124.0
2019-03-11,76.52,78.05,76.08,77.95,1336364.0
2019-03-12,78.1,79.12,78.1,78.42,1387632.0
2019-03-13,79.04,80.26,78.68,79.79,1050168.0
2019-03-14,79.62,80.26,79.07,79.51,1283769.0
2019-03-15,79.49,80.59,79.49,80.18,2007897.0
2019-03-18,80.49,81.3,80.2,80.39,826161
2019-03-19,80.49,81.7,80.38,81.07,871168
2019-03-20,80.89,80.89,79.26,79.27,1102342.0
2019-03-21,79,80.425,79,80.36,919789
2019-03-22,80.14,80.38,78.67,78.77,978440
2019-03-25,78.77,78.77,76.87,77.1,1670491.0
2019-03-26,77.56,77.93,76.05,76.56,1667279.0
2019-03-27,76.36,76.87,75.65,76.5,1339208.0
2019-03-28,77.05,77.93,76.69,77.89,1111644.0
2019-03-29,78.31,79.64,78.01,79.52,1249666.0
2019-04-01,80.04,80.25,79,79.09,1413121.0
2019-04-02,76.88,77.05,74.41,74.49,2275017.0
2019-04-03,75.07,76.26,74.13,75.05,1975465.0
2019-04-04,75.27,76.12,74.2834,75.97,1520744.0
2019-04-05,76.37,78.17,76.16,77.27,1381297.0
2019-04-08,77.1,78.39,76.5,78.12,1717279.0
2019-04-09,77.72,78.04,76.5,77.43,951107
2019-04-10,75.35,75.45,72.15,74,3065446.0
2019-04-11,74.51,75.27,73.46,74.18,1600397.0
2019-04-12,74.58,76.24,74.48,74.74,1552671.0
2019-04-15,75.06,76.16,74.6,76.11,868315
2019-04-16,76.29,76.9,74.43,75.35,1545942.0
2019-04-17,75.59,75.79,71.6301,72.3,1586038.0
2019-04-18,72.3,72.78,71.28,72.45,1431046.0
2019-04-22,72.43,72.97,70.55,71.06,1269142.0
2019-04-23,71.2,73.99,70.91,73.43,1908003.0
2019-04-24,73.61,74.66,73.34,74.09,1205362.0
2019-04-25,73.83,73.855,72.63,73.72,1002324.0
2019-04-26,74.09,74.85,73.55,74.05,813484
2019-04-29,74.03,74.78,73.75,74.51,716931
2019-04-30,74.8,75.057,73.61,74.76,1048708.0
2019-05-01,75.13,75.25,73.04,73.39,2034501.0
2019-05-02,75.52,78.77,75.301,77.06,3056477.0
2019-05-03,77.98,79.59,77.64,79.14,2087218.0
2019-05-06,78.13,78.56,75.62,78.31,1204027.0
2019-05-07,77.61,79.06,76.77,77.46,1727972.0
2019-05-08,77.84,79.56,76.505,78.72,1826371.0
2019-05-09,77.73,79.79,77.17,79.18,1772630.0
2019-05-10,78.9,79.51,76.13,77.47,1335396.0
2019-05-13,76.04,76.27,74.67,75.68,1085004.0
2019-05-14,75.94,78.925,75.47,76.69,1603678.0
2019-05-15,76.29,77.96,75.18,77.86,1332666.0
2019-05-16,77.84,78.75,77.36,77.59,1381733.0
2019-05-17,76.84,78.83,76.43,77.73,1198591.0
2019-05-20,77.08,79.67,77.05,79.23,1606002.0
2019-05-21,79.78,81.26,79.47,80.57,1910016.0
2019-05-22,80.47,82.08,80.16,81.8,1672129.0
2019-05-23,81.16,81.67,79.95,80.44,1187520.0
2019-05-24,80.44,81.29,79.94,80.68,807041
2019-05-28,80.57,81.69,80.57,80.89,1900218.0
2019-05-29,80.53,80.575,78.19,78.35,2045825.0
2019-05-30,78.35,78.93,77.46,78.32,801202
2019-05-31,77.55,78.35,77.07,77.86,841981
2019-06-03,78.12,81.07,78.12,80.37,1357561.0
2019-06-04,81.29,82.88,81,82.21,1891427.0
2019-06-05,82.86,83.19,81.0154,81.65,1145084.0
2019-06-06,81.55,82.46,81.54,81.75,1388983.0
2019-06-07,82.33,83.67,81.96,83.48,1231868.0
2019-06-10,83.63,85.48,83.58,84.77,1417245.0
2019-06-11,85,85.27,84.4538,84.72,1253132.0
2019-06-12,84.67,85.41,84.27,85.38,1201033.0
2019-06-13,85.6,86.68,85.31,86.44,1022747.0
2019-06-14,86.7,86.99,84.84,85.05,1004030.0
2019-06-17,85.46,85.61,84.39,85.34,1058894.0
2019-06-18,85.94,87.1,85.14,85.45,915703
2019-06-19,85.74,86.79,85.53,86.06,1377206.0
2019-06-20,86.97,86.97,84.36,85.56,1880501.0
2019-06-21,85.38,85.49,84.25,84.46,2403238.0
2019-06-24,84.6,85.13,82.89,83.52,2038595.0
2019-06-25,83.87,85.15,83.12,84.28,1698463.0
2019-06-26,84.35,84.79,83.2539,83.78,1063301.0
2019-06-27,84.39,86.52,83.9,85.63,1137602.0
2019-06-28,85.83,86.26,85.18,85.26,1564644.0
2019-07-01,85.78,85.9,84.69,85.59,1190100.0
2019-07-02,85.59,86.05,84.52,85.46,1042791.0
2019-07-03,86.11,88.78,86.075,87.59,1242820.0
